timestamp,timeIntervalSince1970,label
"2019-10-08 15:46:18.580 +0000",1570549578.579934,Start
"2019-10-08 15:50:23.216 +0000",1570549823.215593,Stop
"2019-10-08 15:50:29.444 +0000",1570549829.443947,Sync 1
